Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year,Date,Normalized Date
Toyota,Used,Petrol,74000.0,Vitz,900000,Karachi,Cash,2005.0,2019-12-19,43027200
Honda,New,Petrol,79000.0,Civic VTi Oriel,1550000,Lahore,Cash,2011.0,2019-12-16,42768000
Suzuki,Used,Petrol,298753.0,Cultus VXR,615000,Karachi,Cash,2008.0,2019-12-17,42854400
Honda,Used,Petrol,58454.0,Civic Hybrid,550000,,Cash,2006.0,2019-12-14,42595200
Honda,Used,Petrol,100000.0,Civic VTi Oriel Prosmatec,1480000,Lahore,Cash,2010.0,2019-12-19,43027200
Suzuki,Used,Petrol,25000.0,Mehran VXR,420000,Faisalabad,Cash,2007.0,2019-12-15,42681600
Suzuki,New,Petrol,4300.0,Wagon R,1400000,Islamabad,Cash,2018.0,2019-12-17,42854400
Suzuki,New,CNG,100.0,FX,138000,Karachi,Cash,1987.0,2019-12-16,42768000
Toyota,New,Petrol,14500.0,Corrolla Altis,2280000,Karachi,Cash,2017.0,2019-12-14,42595200
Mitsubishi,Used,Petrol,96000.0,Pajero Mini,410000,Karachi,Cash,1995.0,2019-12-13,42508800
KIA,Used,CNG,85000.0,Classic,265000,Lahore,Cash,2001.0,2019-12-20,43113600
Suzuki,Used,CNG,64000.0,Bolan,650000,Karachi,Cash,2013.0,2019-12-19,43027200
Honda,Used,Hybrid,7000.0,Vezel,3300000,,Cash,2016.0,2019-12-17,42854400
Suzuki,New,Petrol,22000.0,Mehran VX,720000,Lahore,Cash,2017.0,2019-12-17,42854400
Suzuki,Used,CNG,95000.0,Cultus VXR,635000,Karachi,Cash,2009.0,2019-12-18,42940800
,,,,,720000,,,,2019-12-14,42595200
Suzuki,New,Petrol,76000.0,Every,1120000,,Cash,2014.0,2019-12-17,42854400
Suzuki,Used,Petrol,113000.0,Alto,525000,Lahore,Cash,2008.0,2019-12-18,42940800
Toyota,New,Hybrid,3000.0,Aqua,2550000,,Cash,2017.0,2019-12-20,43113600
Suzuki,Used,CNG,132000.0,Alto,450000,Karachi,Cash,2006.0,2019-12-18,42940800
Suzuki,Used,Petrol,86500.0,Mehran VXR,480000,,Cash,2009.0,2019-12-15,42681600
Honda,New,Petrol,5000.0,City IVTEC,50000,Lahore,Cash,2018.0,2019-12-18,42940800
Suzuki,Used,Petrol,47958.0,Cultus VX,220000,Lahore,Installment/Leasing,2008.0,2019-12-18,42940800
Toyota,New,Petrol,1.0,Corolla XLI,975000,,Cash,2018.0,2019-12-14,42595200
Suzuki,Used,Petrol,170654.0,Baleno,485000,Karachi,Cash,2001.0,2019-12-18,42940800
,,,,,1900000,,,,2019-12-17,42854400
,,,,,650000,,,,2019-12-13,42508800
Suzuki,Used,Petrol,62225.0,Alto,1100000,Lahore,Cash,2017.0,2019-12-14,42595200
Daihatsu,Used,Petrol,75000.0,Cuore,545000,Karachi,Cash,2009.0,2019-12-19,43027200
Nissan,New,Petrol,15000.0,Dayz,1275000,,Cash,2015.0,2019-12-17,42854400
Other Brands,New,CNG,660.0,Other,250000,Karachi,Cash,1993.0,2019-12-20,43113600
Daihatsu,Used,CNG,100000.0,Cuore,500000,Karachi,Cash,2005.0,2019-12-14,42595200
KIA,Used,Petrol,130000.0,Sportage,750000,Lahore,Cash,2004.0,2019-12-18,42940800
,,,,,615000,,,,2019-12-13,42508800
Suzuki,Used,Petrol,80000.0,Margalla,370000,Karachi,Cash,1997.0,2019-12-15,42681600
,,,,,570000,,,,2019-12-16,42768000
Suzuki,Used,CNG,1.0,Mehran VX,450000,Islamabad,Cash,2005.0,2019-12-18,42940800
Suzuki,Used,CNG,50000.0,Mehran VX,400000,Lahore,Cash,2005.0,2019-12-18,42940800
Toyota,New,Petrol,14000.0,Corrolla Altis,2275000,Karachi,Cash,2016.0,2019-12-20,43113600
Toyota,New,Hybrid,95000.0,Prius,2250000,Lahore,Cash,2013.0,2019-12-20,43113600
Toyota,New,Petrol,27300.0,Corolla GLI,1990000,Karachi,Cash,2017.0,2019-12-19,43027200
Daihatsu,New,Petrol,175465.0,Atrai Wagon,1125000,,Cash,2012.0,2019-12-14,42595200
,,,,,350000,,,,2019-12-15,42681600
Toyota,Used,Petrol,76190.0,Avanza,1175000,Lahore,Cash,2011.0,2019-12-15,42681600
Toyota,Used,CNG,200000.0,Corolla XE,1070000,Lahore,Cash,2001.0,2019-12-15,42681600
